date,amount,category,description,is_expense
2024-08-21,8623.7,Logistics,Synthetic line item 144,true
2024-03-10,6520.23,Utilities,Synthetic line item 145,true
2024-09-16,8218.23,Sales - Wholesale,Synthetic line item 146,false
2024-10-27,4105.06,Marketing,Synthetic line item 147,true
2024-06-19,3753.42,Equipment,Synthetic line item 148,true
2024-05-02,8441.08,Equipment,Synthetic line item 149,true
2024-07-14,8507.2,Equipment,Synthetic line item 150,true
2024-03-18,3850.02,Marketing,Synthetic line item 151,true
2024-08-13,3944.99,Utilities,Synthetic line item 152,true
2024-07-28,5977.17,Logistics,Synthetic line item 153,true
2024-11-15,6956.55,Equipment,Synthetic line item 154,true
2024-06-11,16003.38,Marketing,Synthetic line item 155,true
2024-04-26,1907.59,Utilities,Synthetic line item 156,true
2024-02-21,3852.04,Marketing,Synthetic line item 157,true
2024-07-02,3178.38,Digital / Software,Synthetic line item 158,true
2024-04-02,5099.48,Logistics,Synthetic line item 159,true
2024-05-03,2667.0,Marketing,Synthetic line item 160,true
2024-05-10,2771.22,Marketing,Synthetic line item 161,true
2024-06-25,9315.13,Sales - Wholesale,Synthetic line item 162,false
2024-06-03,8856.25,Sales - Retail,Synthetic line item 163,false
2024-05-31,6779.74,Sales - Wholesale,Synthetic line item 164,true
2024-01-05,13797.74,Supplies,Synthetic line item 165,true
2024-05-26,7754.14,Sales - Retail,Synthetic line item 166,false
2024-11-13,14606.46,Sales - Wholesale,Synthetic line item 167,false
2024-03-11,5236.85,Utilities,Synthetic line item 168,true
2024-08-13,5416.19,Supplies,Synthetic line item 169,true
2024-05-31,3332.46,Digital / Software,Synthetic line item 170,true
2024-10-03,1525.08,Digital / Software,Synthetic line item 171,true
2024-09-03,8871.1,Sales - Wholesale,Synthetic line item 172,false
2024-02-08,2311.32,Logistics,Synthetic line item 173,true
2024-07-22,3981.25,Digital / Software,Synthetic line item 174,true
2024-03-04,5770.63,Marketing,Synthetic line item 175,true
2024-07-14,8745.63,Digital / Software,Synthetic line item 176,true
2024-11-08,11519.05,Sales - Retail,Synthetic line item 177,false
2024-06-03,2856.33,Equipment,Synthetic line item 178,true
2024-07-17,4794.34,Marketing,Synthetic line item 179,true
2024-03-20,8692.75,Equipment,Synthetic line item 180,true
2024-05-23,3001.74,Supplies,Synthetic line item 181,true
2024-04-30,6091.62,Digital / Software,Synthetic line item 182,true
2024-07-02,3385.35,Supplies,Synthetic line item 183,true
2024-08-20,5834.52,Utilities,Synthetic line item 184,true
2024-01-11,3545.8,Supplies,Synthetic line item 185,true
2024-10-16,5757.06,Sales - Retail,Synthetic line item 186,true
2024-04-20,3244.51,Sales - Retail,Synthetic line item 187,true
2024-05-08,6160.05,Logistics,Synthetic line item 188,true
2024-07-02,6720.83,Sales - Retail,Synthetic line item 189,false
2024-02-28,6911.38,Utilities,Synthetic line item 190,true
2024-02-25,4585.05,Marketing,Synthetic line item 191,true
2024-01-16,7096.19,Supplies,Synthetic line item 192,true
2024-02-25,2885.58,Marketing,Synthetic line item 193,true
2024-06-13,2770.12,Logistics,Synthetic line item 194,true
2024-10-07,4947.46,Digital / Software,Synthetic line item 195,true
2024-09-15,12812.49,Equipment,Synthetic line item 196,true
2024-10-09,7413.83,Sales - Retail,Synthetic line item 197,true
2024-08-20,2577.81,Equipment,Synthetic line item 198,true
2024-05-10,5850.77,Digital / Software,Synthetic line item 199,true
2024-02-16,7650.53,Utilities,Synthetic line item 200,true
2024-10-27,2579.19,Digital / Software,Synthetic line item 201,true
2024-08-04,5011.83,Supplies,Synthetic line item 202,true
2024-10-22,4064.2,Sales - Retail,Synthetic line item 203,true
2024-06-28,3565.64,Digital / Software,Synthetic line item 204,true
2024-08-07,6617.65,Supplies,Synthetic line item 205,true
2024-01-15,3864.18,Logistics,Synthetic line item 206,true
2024-03-14,2272.79,Equipment,Synthetic line item 207,true
2024-07-11,3028.4,Equipment,Synthetic line item 208,true
2024-06-15,4120.6,Utilities,Synthetic line item 209,true
2024-11-06,2834.8,Marketing,Synthetic line item 210,true
2024-06-25,6236.35,Equipment,Synthetic line item 211,true
2024-09-26,3634.41,Sales - Wholesale,Synthetic line item 212,true
2024-01-04,3434.47,Sales - Retail,Synthetic line item 213,true
2024-05-10,2969.23,Sales - Wholesale,Synthetic line item 214,true
2024-04-27,8594.94,Digital / Software,Synthetic line item 215,true
2024-10-20,4138.92,Equipment,Synthetic line item 216,true
2024-01-11,8434.01,Digital / Software,Synthetic line item 217,true
2024-07-04,2593.66,Utilities,Synthetic line item 218,true
2024-07-24,3562.6,Utilities,Synthetic line item 219,true
